ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,LONGITUD,LATITUD,P_TOTAL
15,México,41,Ixtapan del Oro,6,San Martín Ocoxochitepec (San Martín),-10015410,1916130,574
16,Michoacán de Ocampo,83,Tancítaro,50,Púcuaro,-10215170,1916140,315
29,Tlaxcala,13,Huamantla,25,Los Pilares,-9756470,1916150,1280
21,Puebla,143,San Salvador el Verde,1,San Salvador el Verde,-9830530,1916150,2768
15,México,118,Zinacantepec,133,Los Rosales,-9942430,1916150,547
16,Michoacán de Ocampo,46,Juárez,19,Timbuscatío,-10030110,1916150,483
21,Puebla,50,Chichiquila,6,San Martín Comalapa,-9700020,1916160,741
30,Veracruz de Ignacio de la Llave,16,La Antigua,4,El Hatillo,-9619030,1916170,482
6,Colima,7,Manzanillo,41,El Huizcolote,-10417280,1916170,305
4,Campeche,4,Champotón,44,Villa de Guadalupe,-9027400,1916180,437
30,Veracruz de Ignacio de la Llave,188,Totutla,11,Tlapala,-9654370,1916180,1292
21,Puebla,58,Chilchotla,13,San Antonio,-9711170,1916190,1069
21,Puebla,143,San Salvador el Verde,16,Tlacotepec de José Manzo,-9829050,1916190,2403
21,Puebla,58,Chilchotla,15,San Miguel Calixitla (Miguel Hidalgo),-9712000,1916200,408
4,Campeche,4,Champotón,82,Ulumal,-9037240,1916210,833
15,México,25,Chalco,14,San Martín Cuautlalpan,-9849580,1916220,23501
15,México,118,Zinacantepec,109,Colonia San Matías Transfiguración,-9944120,1916230,2179
15,México,7,Amanalco,10,Rincón de Guadalupe,-9959470,1916230,1004
30,Veracruz de Ignacio de la Llave,88,Jalcomulco,2,Santa María Tatetla,-9642430,1916240,1777
30,Veracruz de Ignacio de la Llave,188,Totutla,16,El Santuario (Barrio Nuevo),-9653480,1916250,538
15,México,7,Amanalco,2,Agua Bendita,-9956430,1916250,594
15,México,62,Ocoyoacac,1,Ocoyoacac,-9927380,1916260,26015
21,Puebla,132,San Martín Texmelucan,58,San Baltazar (San Mateo Ayecac),-9823400,1916270,331
30,Veracruz de Ignacio de la Llave,188,Totutla,60,Colonia Progreso,-9654050,1916300,377
9,Distrito Federal,13,Xochimilco,1,Xochimilco,-9908200,1916300,407885
15,México,118,Zinacantepec,114,Ciendabajo (Hacienda de Abajo),-9946560,1916300,772
16,Michoacán de Ocampo,9,Ario,91,San José de Chuén,-10145360,1916300,634
29,Tlaxcala,48,La Magdalena Tlaltelulco,1,La Magdalena Tlaltelulco,-9811380,1916330,16834
15,México,118,Zinacantepec,97,San José Barbabosa,-9943120,1916330,1009
16,Michoacán de Ocampo,59,Nuevo Urecho,24,San Vicente,-10150450,1916340,846
